uniprot_ID	reviewed	uniprot_name	protein	gene_name_long	organism	organism_id	refseq	kegg	length	locus_tag	pathway	go_ids	go_bp	localization
Q8DP63	reviewed	PGDA_STRR6	Peptidoglycan-N-acetylglucosamine deacetylase (Peptidoglycan GlcNAc deacetylase) (EC 3.5.1.104) (Peptidoglycan N-deacetylase) (PG N-deacetylase)	pgdA spr1333	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_358926.1; NC_003098.1.;WP_001854799.1; NC_003098.1.;	spr:spr1333	463	spr1333	NA	GO:0004099; GO:0005886; GO:0005975; GO:0008270; GO:0042545; GO:0050119; GO:0060241	carbohydrate metabolic process [GO:0005975]; cell wall modification [GO:0042545]	inner membrane
Q8DPI6	reviewed	LICC_STRR6	Choline-phosphate cytidylyltransferase (EC 2.7.7.15) (CTP:phosphocholine cytidylyltransferase) (CCT) (Spn-LicC)	licC spr1145	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_358738.1; NC_003098.1.;WP_000643970.1; NC_003098.1.;	spr:spr1145	229	spr1145	PATHWAY: Cell wall biogenesis; teichoic acid biosynthesis. {ECO:0000305|PubMed:8837483}.; PATHWAY: Cell wall biogenesis; lipoteichoic acid biosynthesis. {ECO:0000305|PubMed:8837483}.	GO:0016779; GO:0070395; GO:0071555	cell wall organization [GO:0071555]; lipoteichoic acid biosynthetic process [GO:0070395]	unknown
Q8DPL8	reviewed	WALK_STRR6	Sensor histidine protein kinase/phosphatase WalK (EC 2.7.13.3) (EC 3.9.1.-)	walK hk02 vicK yycG spr1106	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_358699.1; NC_003098.1.;WP_000886210.1; NC_003098.1.;	spr:spr1106	449	spr1106	NA	GO:0000155; GO:0000156; GO:0004721; GO:0005886; GO:0006355; GO:0007165; GO:0007234; GO:0016036; GO:0019901; GO:0030295	cellular response to phosphate starvation [GO:0016036]; osmosensory signaling via phosphorelay pathway [GO:0007234]; regulation of DNA-templated transcription [GO:0006355]; signal transduction [GO:0007165]	unknown
Q8DPQ3	reviewed	PYNA_STRR6	Pyrimidine 5'-nucleotidase PynA (EC 3.1.3.5) (Antimutator protein PynA) (House-cleaning nucleotidase) (Non-canonical pyrimidine nucleotide phosphatase) (Nucleoside 5'-monophosphate phosphohydrolase) (Pyrimidine nucleotidase A) (Ribonucleotide monophosphatase)	pynA spr1057	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_358651.1; NC_003098.1.;WP_000499433.1; NC_003098.1.;	spr:spr1057	237	spr1057	NA	GO:0000166; GO:0000287; GO:0002953; GO:0005737; GO:0008253; GO:0009159; GO:0009222; GO:0016311; GO:0042803; GO:0106411	deoxyribonucleoside monophosphate catabolic process [GO:0009159]; dephosphorylation [GO:0016311]; pyrimidine ribonucleotide catabolic process [GO:0009222]	cytoplasm
Q8DQ15	reviewed	ROCS_STRR6	Regulator of chromosome segregation	rocS spr0895	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_358489.1; NC_003098.1.;WP_000021242.1; NC_003098.1.;	spr:spr0895	163	spr0895	NA	GO:0003677; GO:0005737; GO:0005886; GO:0007059; GO:0009295; GO:0032153; GO:0051301; GO:0051984; GO:0090143	cell division [GO:0051301]; chromosome segregation [GO:0007059]; nucleoid organization [GO:0090143]; positive regulation of chromosome segregation [GO:0051984]	cytoplasm
Q8DQ36	reviewed	RQCH_STRR6	Rqc2 homolog RqcH (RqcH) (Fibronectin-binding protein PavA) (Pneumonococcal adherence and virulence protein A)	rqcH flpA pavA spr0868	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_358462.1; NC_003098.1.;WP_000006706.1; NC_003098.1.;	spr:spr0868	551	spr0868	NA	GO:0000049; GO:0005737; GO:0009986; GO:0043023; GO:0072344; GO:1990112; GO:1990116	rescue of stalled ribosome [GO:0072344]; ribosome-associated ubiquitin-dependent protein catabolic process [GO:1990116]	unknown
Q8DQG4	reviewed	KHPA_STRR6	RNA-binding protein KhpA (KH-domain protein A)	khpA spr0683	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_358277.1; NC_003098.1.;WP_000379621.1; NC_003098.1.;	spr:spr0683	79	spr0683	NA	GO:0003723; GO:0005737; GO:0008360; GO:0009252; GO:0071555	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	cytoplasm
Q8DR55	reviewed	MAPZ_STRR6	Mid-cell-anchored protein Z	mapZ locZ spr0334	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_357928.1; NC_003098.1.;WP_000039255.1; NC_003098.1.;	spr:spr0334	464	spr0334	NA	GO:0005886; GO:0007049; GO:0051301	cell cycle [GO:0007049]; cell division [GO:0051301]	inner membrane
Q8DR59	reviewed	PBPA_STRR6	Penicillin-binding protein 1A (PBP-1A) (Exported protein 2) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.99.28) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	pbpA exp2 ponA spr0329	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_357923.1; NC_003098.1.;WP_001039991.1; NC_003098.1.;	spr:spr0329	719	spr0329	PATHWAY: Cell wall biogenesis; peptidoglycan biosynthesis.	GO:0005576; GO:0006508; GO:0008360; GO:0008658; GO:0008955; GO:0009002; GO:0009252; GO:0046677; GO:0071555	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677]	secreted
Q8DR60	reviewed	GH101_STRR6	Endo-alpha-N-acetylgalactosaminidase (EC 3.2.1.97) (SpGH101)	spr0328	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_357922.1; NC_003098.1.;WP_001032523.1; NC_003098.1.;	spr:spr0328	1767	spr0328	NA	GO:0005576; GO:0008152; GO:0030246; GO:0033926; GO:0046872; GO:0050110	metabolic process [GO:0008152]	secreted
P0A307	reviewed	ATPL_STRR6	ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein)	atpE atpC spr1366	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_358959.1; NC_003098.1.;WP_001054562.1; NC_003098.1.;	spr:spr1366	66	spr1366	NA	GO:0005886; GO:0008289; GO:0015986; GO:0045263; GO:0046933	proton motive force-driven ATP synthesis [GO:0015986]	inner membrane
P0A336	reviewed	CH60_STRR6	Chaperonin GroEL (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin-60) (Cpn60)	groEL groL spr1722	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_359314.1; NC_003098.1.;WP_000031573.1; NC_003098.1.;	spr:spr1722	540	spr1722	NA	GO:0005524; GO:0009408; GO:0016853; GO:0032727; GO:0032729; GO:0032755; GO:0034514; GO:0042026; GO:0045041; GO:0050870; GO:0051082; GO:0051085; GO:0051087; GO:0140662; GO:1990220	chaperone cofactor-dependent protein refolding [GO:0051085]; mitochondrial unfolded protein response [GO:0034514]; positive regulation of interferon-alpha production [GO:0032727]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of T cell activation [GO:0050870]; positive regulation of type II interferon production [GO:0032729]; protein import into mitochondrial intermembrane space [GO:0045041]; protein refolding [GO:0042026]; response to heat [GO:0009408]	cytoplasm
P0A3C4	reviewed	ERA_STRR6	GTPase Era	era spr0871	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_358465.1; NC_003098.1.;WP_000143265.1; NC_003098.1.;	spr:spr0871	299	spr0871	NA	GO:0000028; GO:0003924; GO:0005525; GO:0005829; GO:0005886; GO:0019843; GO:0043024; GO:0070181	ribosomal small subunit assembly [GO:0000028]	cytoplasm
P0A3M6	reviewed	PBP2_STRR6	Penicillin-binding protein 2B (PBP2b) (Peptidoglycan transpeptidase)	penA pbp2b spr1517	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_359110.1; NC_003098.1.;WP_001829432.1; NC_003098.1.;	spr:spr1517	680	spr1517	NA	GO:0005886; GO:0008360; GO:0008658; GO:0009252; GO:0046677; GO:0071555; GO:0071972	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677]	inner membrane
P0A3N0	reviewed	LDH_STRR6	L-lactate dehydrogenase (L-LDH) (EC 1.1.1.27)	ldh spr1100	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_358693.1; NC_003098.1.;WP_000204727.1; NC_003098.1.;	spr:spr1100	328	spr1100	PATHWAY: Fermentation; pyruvate fermentation to lactate; (S)-lactate from pyruvate: step 1/1. {ECO:0000255|HAMAP-Rule:MF_00488}.	GO:0004459; GO:0005737; GO:0006089; GO:0006090; GO:0006096	glycolytic process [GO:0006096]; lactate metabolic process [GO:0006089]; pyruvate metabolic process [GO:0006090]	cytoplasm
P0A452	reviewed	RECA_STRR6	Protein RecA (Recombinase A)	recA spr1757	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_359349.1; NC_003098.1.;WP_001085462.1; NC_003098.1.;	spr:spr1757	388	spr1757	NA	GO:0003684; GO:0003697; GO:0005524; GO:0005829; GO:0006281; GO:0006310; GO:0009432; GO:0016887; GO:0030420; GO:0140664	DNA recombination [GO:0006310]; DNA repair [GO:0006281]; establishment of competence for transformation [GO:0030420]; SOS response [GO:0009432]	cytoplasm
P0A4D8	reviewed	CSHA_STRR6	DEAD-box ATP-dependent RNA helicase CshA (EC 3.6.4.13) (Exported protein 9)	cshA exp9 spr1440	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_359033.1; NC_003098.1.;WP_000671113.1; NC_003098.1.;	spr:spr1440	524	spr1440	NA	GO:0003724; GO:0005524; GO:0005829; GO:0005840; GO:0005886; GO:0006401; GO:0009409; GO:0010501; GO:0016887; GO:0033592	response to cold [GO:0009409]; RNA catabolic process [GO:0006401]; RNA secondary structure unwinding [GO:0010501]	cytoplasm
P59655	reviewed	DHPS_STRR6	Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase)	sulA spr0266	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_357860.1; NC_003098.1.;	spr:spr0266	314	spr0266	PATHWAY: Cofactor biosynthesis; tetrahydrofolate biosynthesis; 7,8-dihydrofolate from 2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate and 4-aminobenzoate: step 1/2.	GO:0004156; GO:0005829; GO:0046654; GO:0046656; GO:0046677; GO:0046872	folic acid biosynthetic process [GO:0046656]; response to antibiotic [GO:0046677]; tetrahydrofolate biosynthetic process [GO:0046654]	unknown
P59657	reviewed	SULD_STRR6	Bifunctional folate synthesis protein [Includes: Dihydroneopterin aldolase (DHNA) (EC 4.1.2.25) (7,8-dihydroneopterin aldolase); 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3) (6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase) (PPPK) (7,8-dihydro-6-hydroxymethylpterin pyrophosphokinase) (HPPK)]	sulD spr0269	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_357863.1; NC_003098.1.;WP_000372525.1; NC_003098.1.;	spr:spr0269	270	spr0269	PATHWAY: Cofactor biosynthesis; tetrahydrofolate biosynthesis; 2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate from 7,8-dihydroneopterin triphosphate: step 3/4.; PATHWAY: Cofactor biosynthesis; tetrahydrofolate biosynthesis; 2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate from 7,8-dihydroneopterin triphosphate: step 4/4.	GO:0003848; GO:0004150; GO:0005524; GO:0016301; GO:0016310; GO:0046654; GO:0046656; GO:0046872	folic acid biosynthetic process [GO:0046656]; phosphorylation [GO:0016310]; tetrahydrofolate biosynthetic process [GO:0046654]	unknown
P59676	reviewed	PBPX_STRR6	Penicillin-binding protein 2X (PBP-2X) (PBP2X)	pbpX spr0304	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_357898.1; NC_003098.1.;WP_000872267.1; NC_003098.1.;	spr:spr0304	750	spr0304	NA	GO:0005886; GO:0007049; GO:0008360; GO:0008658; GO:0009252; GO:0046677; GO:0051301; GO:0071555	cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677]	inner membrane
P62576	reviewed	NANA_STRR6	Sialidase A (EC 3.2.1.18) (Neuraminidase A)	nanA spr1536	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_359129.1; NC_003098.1.;	spr:spr1536	1035	spr1536	NA	GO:0004308; GO:0005576; GO:0005737; GO:0006689; GO:0009313; GO:0016020; GO:0043231; GO:0052794; GO:0052795; GO:0052796	ganglioside catabolic process [GO:0006689]; oligosaccharide catabolic process [GO:0009313]	secreted
P63734	reviewed	CARA_STRR6	Carbamoyl phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl phosphate synthetase glutamine chain)	carA spr1154	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_358747.1; NC_003098.1.;WP_000166701.1; NC_003098.1.;	spr:spr1154	359	spr1154	PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; carbamoyl phosphate from bicarbonate: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01209}.; PATHWAY: Pyrimidine metabolism; UMP biosynthesis via de novo pathway; (S)-dihydroorotate from bicarbonate: step 1/3. {ECO:0000255|HAMAP-Rule:MF_01209}.	GO:0004088; GO:0004359; GO:0005524; GO:0005737; GO:0005951; GO:0006207; GO:0006526; GO:0006541; GO:0044205	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; arginine biosynthetic process [GO:0006526]; glutamine metabolic process [GO:0006541]	unknown
P64311	reviewed	IXTPA_STRR6	dITP/XTP pyrophosphatase (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	spr1695	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_359287.2; NC_003098.1.;	spr:spr1695	200	spr1695	NA	GO:0000166; GO:0005737; GO:0005829; GO:0009117; GO:0009143; GO:0009146; GO:0017111; GO:0035870; GO:0036220; GO:0036222; GO:0046872; GO:0047429	nucleoside triphosphate catabolic process [GO:0009143]; nucleotide metabolic process [GO:0009117]; purine nucleoside triphosphate catabolic process [GO:0009146]	unknown
P65240	reviewed	KPRS1_STRR6	Ribose-phosphate pyrophosphokinase 1 (RPPK 1) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate synthase 1) (Phosphoribosyl diphosphate synthase 1) (Phosphoribosyl pyrophosphate synthase 1) (P-Rib-PP synthase 1) (PRPP synthase 1) (PRPPase 1)	prs1 prsA spr0028	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_357622.1; NC_003098.1.;WP_000010163.1; NC_003098.1.;	spr:spr0028	322	spr0028	PATHWAY: Metabolic intermediate biosynthesis; 5-phospho-alpha-D-ribose 1-diphosphate biosynthesis; 5-phospho-alpha-D-ribose 1-diphosphate from D-ribose 5-phosphate (route I): step 1/1. {ECO:0000255|HAMAP-Rule:MF_00583}.	GO:0000287; GO:0002189; GO:0004749; GO:0005524; GO:0005737; GO:0006015; GO:0006164; GO:0009156; GO:0016301; GO:0016310	5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; phosphorylation [GO:0016310]; purine nucleotide biosynthetic process [GO:0006164]; ribonucleoside monophosphate biosynthetic process [GO:0009156]	cytoplasm
P65242	reviewed	KPRS2_STRR6	Putative ribose-phosphate pyrophosphokinase 2 (RPPK 2) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate synthase 2) (Phosphoribosyl diphosphate synthase 2) (Phosphoribosyl pyrophosphate synthase 2) (P-Rib-PP synthase 2) (PRPP synthase 2) (PRPPase 2)	prs2 prs spr1002	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_358596.1; NC_003098.1.;WP_001283813.1; NC_003098.1.;	spr:spr1002	319	spr1002	PATHWAY: Metabolic intermediate biosynthesis; 5-phospho-alpha-D-ribose 1-diphosphate biosynthesis; 5-phospho-alpha-D-ribose 1-diphosphate from D-ribose 5-phosphate (route I): step 1/1. {ECO:0000255|HAMAP-Rule:MF_00583}.	GO:0000287; GO:0002189; GO:0004749; GO:0005524; GO:0005737; GO:0006015; GO:0006164; GO:0009156; GO:0016301; GO:0016310	5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; phosphorylation [GO:0016310]; purine nucleotide biosynthetic process [GO:0006164]; ribonucleoside monophosphate biosynthetic process [GO:0009156]	cytoplasm
P65444	reviewed	MSAB2_STRR6	Peptide methionine sulfoxide reductase MsrA/MsrB 2 [Includes: Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase); Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)]	msrAB2 msrA spr0577	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_358171.1; NC_003098.1.;	spr:spr0577	311	spr0577	NA	GO:0005737; GO:0006979; GO:0008113; GO:0030091; GO:0033743; GO:0033744; GO:0036211	protein modification process [GO:0036211]; protein repair [GO:0030091]; response to oxidative stress [GO:0006979]	unknown
Q8CWN2	reviewed	ADCA_STRR6	Zinc-binding lipoprotein AdcA	adcA spr1975	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_359566.1; NC_003098.1.;WP_000724074.1; NC_003098.1.;	spr:spr1975	501	spr1975	NA	GO:0005886; GO:0006829; GO:0007155; GO:0008270; GO:0030420	cell adhesion [GO:0007155]; establishment of competence for transformation [GO:0030420]; zinc ion transport [GO:0006829]	inner membrane
Q8CWP9	reviewed	DIV4A_STRR6	Cell division protein DivIVA	divIVA spr1505	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_359098.1; NC_003098.1.;WP_001810114.1; NC_003098.1.;	spr:spr1505	262	spr1505	NA	GO:0000917; GO:0005737; GO:0008360	division septum assembly [GO:0000917]; regulation of cell shape [GO:0008360]	cytoplasm
Q8CWQ5	reviewed	MURE_STRR6	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase (EC 6.3.2.7) (L-lysine-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:L-Lys ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	murE spr1384	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_358977.1; NC_003098.1.;WP_000590294.1; NC_003098.1.;	spr:spr1384	481	spr1384	PATHWAY: Cell wall biogenesis; peptidoglycan biosynthesis. {ECO:0000255|HAMAP-Rule:MF_00208}.	GO:0000287; GO:0005524; GO:0005737; GO:0007049; GO:0008360; GO:0009252; GO:0047482; GO:0051301; GO:0071555	cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	cytoplasm
Q8CWR0	reviewed	CARB_STRR6	Carbamoyl phosphate synthase large chain (EC 6.3.4.16) (EC 6.3.5.5) (Carbamoyl phosphate synthetase ammonia chain)	carB spr1153	Streptococcus pneumoniae ATCC BAA-255 / R6	171101	NP_358746.1; NC_003098.1.;WP_001856202.1; NC_003098.1.;	spr:spr1153	1058	spr1153	PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; carbamoyl phosphate from bicarbonate: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01210}.; PATHWAY: Pyrimidine metabolism; UMP biosynthesis via de novo pathway; (S)-dihydroorotate from bicarbonate: step 1/3. {ECO:0000255|HAMAP-Rule:MF_01210}.	GO:0004070; GO:0004087; GO:0004088; GO:0004151; GO:0005524; GO:0005737; GO:0005829; GO:0006207; GO:0006228; GO:0006526; GO:0006541; GO:0019240; GO:0044205; GO:0046872	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; arginine biosynthetic process [GO:0006526]; citrulline biosynthetic process [GO:0019240]; glutamine metabolic process [GO:0006541]; UTP biosynthetic process [GO:0006228]	unknown
