uniprot_ID	reviewed	uniprot_name	protein	gene_name_long	organism	organism_id	refseq	length	locus_tag	pathway	go_ids	go_bp	localization
A0A0F6AXL0	unreviewed	A0A0F6AXL0_SALT1	Pyrimidine/purine nucleoside phosphorylase (EC 2.4.2.1) (EC 2.4.2.2) (Adenosine phosphorylase) (Cytidine phosphorylase) (Guanosine phosphorylase) (Inosine phosphorylase) (Thymidine phosphorylase) (Uridine phosphorylase) (Xanthosine phosphorylase)	yaiE ppnP STM14_0462	Salmonella typhimurium 14028s / SGSC 2262	588858	WP_000941952.1; NZ_CP043402.1.;	94	STM14_0462	NA	GO:0004731; GO:0004850; GO:0005829; GO:0009032; GO:0016154; GO:0047975	NA	unknown
A0A0F6AXQ0	unreviewed	A0A0F6AXQ0_SALT1	tRNA sulfurtransferase (EC 2.8.1.4) (Sulfur carrier protein ThiS sulfurtransferase) (Thiamine biosynthesis protein ThiI) (tRNA 4-thiouridine synthase)	thiI STM14_0503	Salmonella typhimurium 14028s / SGSC 2262	588858	WP_000668708.1; NZ_CP043402.1.;	482	STM14_0503	PATHWAY: Cofactor biosynthesis; thiamine diphosphate biosynthesis. {ECO:0000256|HAMAP-Rule:MF_00021}.	GO:0000049; GO:0002937; GO:0004810; GO:0005524; GO:0005829; GO:0009228; GO:0009229; GO:0052837; GO:0140741	thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]; thiazole biosynthetic process [GO:0052837]; tRNA 4-thiouridine biosynthesis [GO:0002937]	cytoplasm
A0A0F6AXW9	unreviewed	A0A0F6AXW9_SALT1	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	adk STM14_0574	Salmonella typhimurium 14028s / SGSC 2262	588858	WP_001220237.1; NZ_CP043402.1.;	214	STM14_0574	PATHWAY: Purine metabolism; AMP biosynthesis via salvage pathway; AMP from ADP: step 1/1. {ECO:0000256|HAMAP-Rule:MF_00235}.	GO:0004017; GO:0004127; GO:0004550; GO:0005524; GO:0005829; GO:0006225; GO:0016310; GO:0033862; GO:0044209; GO:0046705	AMP salvage [GO:0044209]; CDP biosynthetic process [GO:0046705]; phosphorylation [GO:0016310]; UDP biosynthetic process [GO:0006225]	cytoplasm
A0A0F6B021	unreviewed	A0A0F6B021_SALT1	Ribonuclease E (RNase E) (EC 3.1.26.12)	rne STM14_1357	Salmonella typhimurium 14028s / SGSC 2262	588858	WP_000827470.1; NZ_CP043402.1.;	1067	STM14_1357	NA	GO:0000049; GO:0000287; GO:0004521; GO:0005737; GO:0006364; GO:0006402; GO:0008033; GO:0008270; GO:0008995; GO:0009898; GO:0019843	mRNA catabolic process [GO:0006402]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]	cytoplasm
A0A0F6B046	unreviewed	A0A0F6B046_SALT1	Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)	nagZ STM14_1383	Salmonella typhimurium 14028s / SGSC 2262	588858	WP_000529340.1; NZ_CP043402.1.;	341	STM14_1383	PATHWAY: Cell wall biogenesis; peptidoglycan recycling. {ECO:0000256|HAMAP-Rule:MF_00364}.	GO:0004563; GO:0005737; GO:0005975; GO:0007049; GO:0008360; GO:0009252; GO:0009254; GO:0051301; GO:0071555; GO:0102148	carbohydrate metabolic process [GO:0005975]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; peptidoglycan turnover [GO:0009254]; regulation of cell shape [GO:0008360]	cytoplasm
A0A0F6B0Q1	unreviewed	A0A0F6B0Q1_SALT1	Chitooligosaccharide deacetylase (COD) (EC 3.5.1.105) (Chitin disaccharide deacetylase) (Chitobiose deacetylase) (Chitobiose-6P deacetylase) (Chitotriose deacetylase) (Chitotriose-6P deacetylase)	celG chbG STM14_1599	Salmonella typhimurium 14028s / SGSC 2262	588858	WP_000442738.1; NZ_CP043402.1.;	252	STM14_1599	PATHWAY: Glycan degradation; chitin degradation. {ECO:0000256|HAMAP-Rule:MF_01246}.	GO:0000272; GO:0005737; GO:0006032; GO:0019213; GO:0036311; GO:0046872; GO:0052777	chitin catabolic process [GO:0006032]; diacetylchitobiose catabolic process [GO:0052777]; polysaccharide catabolic process [GO:0000272]	cytoplasm
A0A0F6B0V1	unreviewed	A0A0F6B0V1_SALT1	Quinate/shikimate dehydrogenase (EC 1.1.1.282) (NAD-dependent shikimate 5-dehydrogenase)	aroE_1 ydiB STM14_1650	Salmonella typhimurium 14028s / SGSC 2262	588858	WP_000383490.1; NZ_CP043402.1.;	288	STM14_1650	PATHWAY: Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 4/7. {ECO:0000256|HAMAP-Rule:MF_01578}.	GO:0004764; GO:0005829; GO:0008652; GO:0009073; GO:0009423; GO:0019632; GO:0030266; GO:0050661; GO:0052733; GO:0052734	amino acid biosynthetic process [GO:0008652]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]; shikimate metabolic process [GO:0019632]	unknown
A0A0F6B1L9	unreviewed	A0A0F6B1L9_SALT1	Gamma-aminobutyraldehyde dehydrogenase (ABALDH) (EC 1.2.1.19) (1-pyrroline dehydrogenase) (4-aminobutanal dehydrogenase) (5-aminopentanal dehydrogenase) (EC 1.2.1.-)	ydcW patD STM14_1934	Salmonella typhimurium 14028s / SGSC 2262	588858	NA	474	STM14_1934	PATHWAY: Amine and polyamine degradation; putrescine degradation; 4-aminobutanoate from 4-aminobutanal: step 1/1. {ECO:0000256|HAMAP-Rule:MF_01275}.; PATHWAY: Amino-acid degradation. {ECO:0000256|HAMAP-Rule:MF_01275}.	GO:0009447; GO:0019145; GO:0019477; GO:0033737; GO:0051287	L-lysine catabolic process [GO:0019477]; putrescine catabolic process [GO:0009447]	unknown
A0A0F6B278	unreviewed	A0A0F6B278_SALT1	Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate synthase) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase)	prsA prs STM14_2153	Salmonella typhimurium 14028s / SGSC 2262	588858	WP_001518537.1; NZ_CP043402.1.;	315	STM14_2153	PATHWAY: Metabolic intermediate biosynthesis; 5-phospho-alpha-D-ribose 1-diphosphate biosynthesis; 5-phospho-alpha-D-ribose 1-diphosphate from D-ribose 5-phosphate (route I): step 1/1. {ECO:0000256|HAMAP-Rule:MF_00583}.	GO:0000287; GO:0002189; GO:0004749; GO:0005524; GO:0005737; GO:0006015; GO:0006164; GO:0009156; GO:0016301; GO:0016310	5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; phosphorylation [GO:0016310]; purine nucleotide biosynthetic process [GO:0006164]; ribonucleoside monophosphate biosynthetic process [GO:0009156]	cytoplasm
A0A0F6B431	unreviewed	A0A0F6B431_SALT1	Nucleoside triphosphatase NudI (EC 3.6.1.9) (Nucleotide diphosphatase NudI) (Pyrimidine deoxynucleoside triphosphate diphosphatase) (dCTP diphosphatase) (EC 3.6.1.12) (dTTP diphosphatase) (EC 3.6.1.-) (dUTP diphosphatase) (EC 3.6.1.23)	yfaO nudI STM14_2832	Salmonella typhimurium 14028s / SGSC 2262	588858	WP_001249900.1; NZ_CP043402.1.;	141	STM14_2832	NA	GO:0000287; GO:0004170; GO:0036218; GO:0047840	NA	unknown
A0A0F6B436	unreviewed	A0A0F6B436_SALT1	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	yfbG arnA STM14_2837	Salmonella typhimurium 14028s / SGSC 2262	588858	WP_000648776.1; NZ_CP043402.1.;	660	STM14_2837	PATHWAY: Bacterial outer membrane biogenesis; lipopolysaccharide biosynthesis. {ECO:0000256|HAMAP-Rule:MF_01166}.; PATHWAY: Nucleotide-sugar biosynthesis; UDP-4-deoxy-4-formamido-beta-L-arabinose biosynthesis; UDP-4-deoxy-4-formamido-beta-L-arabinose from UDP-alpha-D-glucuronate: step 1/3. {ECO:0000256|HAMAP-Rule:MF_01166}.; PATHWAY: Nucleotide-sugar biosynthesis; UDP-4-deoxy-4-formamido-beta-L-arabinose biosynthesis; UDP-4-deoxy-4-formamido-beta-L-arabinose from UDP-alpha-D-glucuronate: step 3/3. {ECO:0000256|HAMAP-Rule:MF_01166}.	GO:0009103; GO:0009245; GO:0016831; GO:0046677; GO:0099618; GO:0099619	lipid A biosynthetic process [GO:0009245]; lipopolysaccharide biosynthetic process [GO:0009103]; response to antibiotic [GO:0046677]	unknown
A0A0F6B4D5	unreviewed	A0A0F6B4D5_SALT1	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	fadJ STM14_2937	Salmonella typhimurium 14028s / SGSC 2262	588858	WP_000214154.1; NZ_CP043402.1.;	715	STM14_2937	PATHWAY: Lipid metabolism; fatty acid beta-oxidation. {ECO:0000256|ARBA:ARBA00005005, ECO:0000256|HAMAP-Rule:MF_01617}.	GO:0003857; GO:0004300; GO:0005737; GO:0006635; GO:0008692; GO:0070403	fatty acid beta-oxidation [GO:0006635]	cytoplasm
A0A0F6B4I4	unreviewed	A0A0F6B4I4_SALT1	Pyridoxine/pyridoxal/pyridoxamine kinase (PN/PL/PM kinase) (EC 2.7.1.35) (B6-vitamer kinase)	pdxK STM14_2993	Salmonella typhimurium 14028s / SGSC 2262	588858	WP_000529613.1; NZ_CP043402.1.;	288	STM14_2993	PATHWAY: Cofactor metabolism; pyridoxal 5'-phosphate salvage; pyridoxal 5'-phosphate from pyridoxal: step 1/1. {ECO:0000256|HAMAP-Rule:MF_01638}.; PATHWAY: Cofactor metabolism; pyridoxal 5'-phosphate salvage; pyridoxamine 5'-phosphate from pyridoxamine: step 1/1. {ECO:0000256|HAMAP-Rule:MF_01638}.; PATHWAY: Cofactor metabolism; pyridoxal 5'-phosphate salvage; pyridoxine 5'-phosphate from pyridoxine: step 1/1. {ECO:0000256|HAMAP-Rule:MF_01638}.	GO:0000287; GO:0005524; GO:0005829; GO:0008270; GO:0008478; GO:0008902; GO:0009443; GO:0016310	phosphorylation [GO:0016310]; pyridoxal 5'-phosphate salvage [GO:0009443]	unknown
A0A0F6B4T7	unreviewed	A0A0F6B4T7_SALT1	Dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)	yfgB rlmN STM14_3097	Salmonella typhimurium 14028s / SGSC 2262	588858	WP_000003211.1; NZ_CP043402.1.;	388	STM14_3097	NA	GO:0000049; GO:0002935; GO:0005737; GO:0019843; GO:0030488; GO:0046872; GO:0051539; GO:0070040; GO:0070475	rRNA base methylation [GO:0070475]; tRNA methylation [GO:0030488]	cytoplasm
A0A0F6B4W4	reviewed	SUHB_SALT1	Nus factor SuhB (Inositol-1-monophosphatase) (I-1-Pase) (IMPase) (Inositol-1-phosphatase) (EC 3.1.3.25)	suhB STM14_3124	Salmonella typhimurium 14028s / SGSC 2262	588858	WP_000553467.1; NZ_CP043402.1.;	267	STM14_3124	NA	GO:0003723; GO:0005737; GO:0006020; GO:0007165; GO:0008934; GO:0031564; GO:0042254; GO:0046854; GO:0046872; GO:0052832; GO:0052833	inositol metabolic process [GO:0006020]; phosphatidylinositol phosphate biosynthetic process [GO:0046854]; ribosome biogenesis [GO:0042254]; signal transduction [GO:0007165]; transcription antitermination [GO:0031564]	cytoplasm
A0A0F6B4X3	unreviewed	A0A0F6B4X3_SALT1	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	glyA STM14_3133	Salmonella typhimurium 14028s / SGSC 2262	588858	WP_000919178.1; NZ_CP043402.1.;	417	STM14_3133	PATHWAY: Amino-acid biosynthesis; glycine biosynthesis; glycine from L-serine: step 1/1. {ECO:0000256|HAMAP-Rule:MF_00051}.; PATHWAY: One-carbon metabolism; tetrahydrofolate interconversion. {ECO:0000256|HAMAP-Rule:MF_00051}.	GO:0004372; GO:0005829; GO:0006565; GO:0008168; GO:0008270; GO:0019264; GO:0030170; GO:0032259; GO:0035999; GO:0046655; GO:0050897; GO:0070905	folic acid metabolic process [GO:0046655]; glycine biosynthetic process from serine [GO:0019264]; L-serine catabolic process [GO:0006565]; methylation [GO:0032259]; tetrahydrofolate interconversion [GO:0035999]	cytoplasm
A0A0F6B4X5	unreviewed	A0A0F6B4X5_SALT1	Flavohemoprotein (Flavohemoglobin) (Hemoglobin-like protein) (Nitric oxide dioxygenase) (NO oxygenase) (NOD) (EC 1.14.12.17)	hmpA hmp STM14_3135	Salmonella typhimurium 14028s / SGSC 2262	588858	WP_000883146.1; NZ_CP043402.1.;	396	STM14_3135	NA	GO:0005344; GO:0008941; GO:0009636; GO:0019825; GO:0020037; GO:0046210; GO:0046872; GO:0071500; GO:0071949	cellular response to nitrosative stress [GO:0071500]; nitric oxide catabolic process [GO:0046210]; response to toxic substance [GO:0009636]	unknown
A0A0F6B506	reviewed	SARA_SALT1	Salmonella anti-inflammatory response activator (SarA) (Salmonella translocated effector E)	sarA gogC pagJ steE stm2585 STM14_3166	Salmonella typhimurium 14028s / SGSC 2262	588858	NA	181	STM14_3166	NA	GO:0016020; GO:0030430	NA	unknown
A0A0F6B624	unreviewed	A0A0F6B624_SALT1	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	pyrG STM14_3558	Salmonella typhimurium 14028s / SGSC 2262	588858	WP_000210863.1; NZ_CP043402.1.;	545	STM14_3558	PATHWAY: Pyrimidine metabolism; CTP biosynthesis via de novo pathway; CTP from UDP: step 2/2. {ECO:0000256|ARBA:ARBA00005171, ECO:0000256|HAMAP-Rule:MF_01227}.	GO:0003883; GO:0004359; GO:0005524; GO:0005829; GO:0006541; GO:0019856; GO:0042802; GO:0044210; GO:0046872; GO:0097268	'de novo' CTP biosynthetic process [GO:0044210]; glutamine metabolic process [GO:0006541]; pyrimidine nucleobase biosynthetic process [GO:0019856]	unknown
A0A0F6B671	unreviewed	A0A0F6B671_SALT1	RecBCD enzyme subunit RecB (EC 3.1.11.5) (EC 5.6.2.4) (DNA 3'-5' helicase subunit RecB) (Exonuclease V subunit RecB) (ExoV subunit RecB) (Helicase/nuclease RecBCD subunit RecB)	recB STM14_3609	Salmonella typhimurium 14028s / SGSC 2262	588858	WP_001000527.1; NZ_CP043402.1.;	1181	STM14_3609	NA	GO:0000287; GO:0000724; GO:0003677; GO:0005524; GO:0005829; GO:0008854; GO:0009338; GO:0016887; GO:0043138	double-strand break repair via homologous recombination [GO:0000724]	unknown
A0A0F6B6K6	unreviewed	A0A0F6B6K6_SALT1	dITP/XTP pyrophosphatase (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	yggV STM14_3747	Salmonella typhimurium 14028s / SGSC 2262	588858	WP_001174769.1; NZ_CP043402.1.;	197	STM14_3747	NA	GO:0000166; GO:0005829; GO:0009117; GO:0009146; GO:0017111; GO:0035870; GO:0036220; GO:0036222; GO:0046872	nucleotide metabolic process [GO:0009117]; purine nucleoside triphosphate catabolic process [GO:0009146]	unknown
A0A0F6B6Y2	unreviewed	A0A0F6B6Y2_SALT1	Bifunctional protein HldE [Includes: D-beta-D-heptose 7-phosphate kinase (EC 2.7.1.167) (D-beta-D-heptose 7-phosphotransferase) (D-glycero-beta-D-manno-heptose-7-phosphate kinase); D-beta-D-heptose 1-phosphate adenylyltransferase (EC 2.7.7.70) (D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase)]	rfaE hldE STM14_3876	Salmonella typhimurium 14028s / SGSC 2262	588858	WP_000867682.1; NZ_CP043402.1.;	477	STM14_3876	PATHWAY: Bacterial outer membrane biogenesis; LPS core biosynthesis. {ECO:0000256|ARBA:ARBA00004713}.; PATHWAY: Nucleotide-sugar biosynthesis; ADP-L-glycero-beta-D-manno-heptose biosynthesis; ADP-L-glycero-beta-D-manno-heptose from D-glycero-beta-D-manno-heptose 7-phosphate: step 1/4. {ECO:0000256|HAMAP-Rule:MF_01603}.; PATHWAY: Nucleotide-sugar biosynthesis; ADP-L-glycero-beta-D-manno-heptose biosynthesis; ADP-L-glycero-beta-D-manno-heptose from D-glycero-beta-D-manno-heptose 7-phosphate: step 3/4. {ECO:0000256|HAMAP-Rule:MF_01603}.	GO:0005524; GO:0005829; GO:0009244; GO:0016773; GO:0033785; GO:0033786; GO:0097171	ADP-L-glycero-beta-D-manno-heptose biosynthetic process [GO:0097171]; lipopolysaccharide core region biosynthetic process [GO:0009244]	unknown
A0A0F6B701	unreviewed	A0A0F6B701_SALT1	Putrescine aminotransferase (PAT) (PATase) (EC 2.6.1.82) (Cadaverine transaminase) (Diamine transaminase) (EC 2.6.1.29) (Putrescine transaminase) (Putrescine--2-oxoglutaric acid transaminase)	oat patA STM14_3896	Salmonella typhimurium 14028s / SGSC 2262	588858	NA	468	STM14_3896	PATHWAY: Amine and polyamine degradation; putrescine degradation; 4-aminobutanal from putrescine (transaminase route): step 1/1. {ECO:0000256|HAMAP-Rule:MF_01276}.; PATHWAY: Amino-acid degradation. {ECO:0000256|HAMAP-Rule:MF_01276}.	GO:0009447; GO:0019161; GO:0019477; GO:0030170; GO:0033094; GO:0042802	L-lysine catabolic process [GO:0019477]; putrescine catabolic process [GO:0009447]	unknown
A0A0F6B781	unreviewed	A0A0F6B781_SALT1	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-)	hflB ftsH STM14_3981	Salmonella typhimurium 14028s / SGSC 2262	588858	WP_001107481.1; NZ_CP043402.1.;	644	STM14_3981	NA	GO:0004176; GO:0004222; GO:0005524; GO:0005886; GO:0006508; GO:0008270; GO:0016887; GO:0030163	protein catabolic process [GO:0030163]; proteolysis [GO:0006508]	inner membrane
