uniprot_ID	reviewed	uniprot_name	protein	gene_name_long	organism	refseq	length	locus_tag	pathway	go_ids	go_bp	localization
O07600	reviewed	FABH2_BACSU	Beta-ketoacyl-[acyl-carrier-protein] synthase III 2 (Beta-ketoacyl-ACP synthase III 2) (KAS III 2) (EC 2.3.1.180) (EC 2.3.1.300) (3-oxoacyl-[acyl-carrier-protein] synthase 3 2) (3-oxoacyl-[acyl-carrier-protein] synthase III 2) (Branched-chain beta-ketoacyl-[acyl-carrier-protein] synthase 2) (bFabH2)	fabHB fabH2 yhfB BSU10170	Bacillus subtilis 168	NP_388898.1; NC_000964.3.;WP_003233200.1; NZ_JNCM01000035.1.;	325	BSU10170	PATHWAY: Lipid metabolism; fatty acid biosynthesis. {ECO:0000255|HAMAP-Rule:MF_01815}.	GO:0004315; GO:0005737; GO:0006633; GO:0033818; GO:0044550	fatty acid biosynthetic process [GO:0006633]; secondary metabolite biosynthetic process [GO:0044550]	cytoplasm
O07623	reviewed	SBOA_BACSU	Subtilosin-A (Antilisterial bacteriocin subtilosin)	sboA sbo BSU37350	Bacillus subtilis 168	NP_391616.1; NC_000964.3.;WP_003222002.1; NZ_JNCM01000034.1.;	43	BSU37350	NA	GO:0005576; GO:0031640; GO:0042742	defense response to bacterium [GO:0042742]; killing of cells of another organism [GO:0031640]	secreted
O08336	reviewed	CYPB_BACSU	Bifunctional cytochrome P450/NADPH--P450 reductase 2 (CYP102A3) (Fatty acid hydroxylase CypB) (Flavocytochrome P450 102A3) [Includes: Cytochrome P450 102A3 (EC 1.14.14.1); NADPH--cytochrome P450 reductase (EC 1.6.2.4)]	cypB cyp102A3 yrhJ BSU27160	Bacillus subtilis 168	NP_390594.1; NC_000964.3.;WP_003246174.1; NZ_JNCM01000036.1.;	1054	BSU27160	NA	GO:0003958; GO:0005504; GO:0005506; GO:0005829; GO:0009725; GO:0010181; GO:0016491; GO:0016712; GO:0019395; GO:0020037; GO:0050660; GO:0070330	fatty acid oxidation [GO:0019395]; response to hormone [GO:0009725]	cytoplasm
O08394	reviewed	CYPD_BACSU	Bifunctional cytochrome P450/NADPH--P450 reductase 1 (CYP102A2) (Fatty acid hydroxylase CypD) (Flavocytochrome P450 102A2) [Includes: Cytochrome P450 102A2 (EC 1.14.14.1); NADPH--cytochrome P450 reductase (EC 1.6.2.4)]	cypD cyp102A2 yetO yfnJ BSU07250	Bacillus subtilis 168	NP_388606.1; NC_000964.3.;WP_003242884.1; NZ_JNCM01000032.1.;	1061	BSU07250	NA	GO:0003958; GO:0005504; GO:0005506; GO:0005829; GO:0009725; GO:0010181; GO:0016491; GO:0016712; GO:0019395; GO:0020037; GO:0050660; GO:0070330	fatty acid oxidation [GO:0019395]; response to hormone [GO:0009725]	cytoplasm
O31422	reviewed	SKFA_BACSU	Sporulation killing factor (SKF) (Sporulation-killing factor SkfA)	skfA ybcO BSU01910	Bacillus subtilis 168	NP_388072.1; NC_000964.3.;WP_009966416.1; NZ_JNCM01000030.1.;	55	BSU01910	NA	GO:0005576; GO:0031640; GO:0042742	defense response to bacterium [GO:0042742]; killing of cells of another organism [GO:0031640]	secreted
O31461	reviewed	ILVE1_BACSU	Branched-chain-amino-acid transaminase 1 (BCAT 1) (EC 2.6.1.42)	ilvE ybgE BSU02390	Bacillus subtilis 168	NP_388121.1; NC_000964.3.;WP_003246499.1; NZ_JNCM01000030.1.;	356	BSU02390	PATHWAY: Amino-acid biosynthesis; L-isoleucine biosynthesis; L-isoleucine from 2-oxobutanoate: step 4/4.; PATHWAY: Amino-acid biosynthesis; L-leucine biosynthesis; L-leucine from 3-methyl-2-oxobutanoate: step 4/4.; PATHWAY: Amino-acid biosynthesis; L-valine biosynthesis; L-valine from pyruvate: step 4/4.	GO:0008652; GO:0009097; GO:0009098; GO:0009099; GO:0050048; GO:0052654; GO:0052655; GO:0052656	amino acid biosynthetic process [GO:0008652]; isoleucine biosynthetic process [GO:0009097]; leucine biosynthetic process [GO:0009098]; valine biosynthetic process [GO:0009099]	unknown
O31523	reviewed	RHGT1_BACSU	Rhamnogalacturonan acetylesterase RhgT (RGAE) (EC 3.1.1.-)	rhgT yesT BSU07020	Bacillus subtilis 168	NP_388583.1; NC_000964.3.;WP_003233825.1; NZ_JNCM01000032.1.;	232	BSU07020	NA	GO:0016787	NA	unknown
O31526	reviewed	YESW_BACSU	Rhamnogalacturonan endolyase YesW (EC 4.2.2.23)	yesW BSU07050	Bacillus subtilis 168	NP_388586.1; NC_000964.3.;WP_010886436.1; NZ_JNCM01000032.1.;	620	BSU07050	NA	GO:0005576; GO:0046872; GO:0071555; GO:0102210	cell wall organization [GO:0071555]	secreted
O31527	reviewed	YESX_BACSU	Rhamnogalacturonan exolyase YesX (EC 4.2.2.24)	yesX BSU07060	Bacillus subtilis 168	NP_388587.1; NC_000964.3.;WP_010886437.1; NZ_CP136402.1.;	612	BSU07060	NA	GO:0005576; GO:0016829; GO:0046872; GO:0071555	cell wall organization [GO:0071555]	secreted
O31602	reviewed	SPX_BACSU	Global transcriptional regulator Spx (Redox-responsive transcription factor Spx) (Suppressor of clpP and clpX) (Spx)	spx spxA yjbD BSU11500	Bacillus subtilis 168	NP_389032.1; NC_000964.3.;WP_003245483.1; NZ_JNCM01000035.1.;	131	BSU11500	NA	GO:0005737; GO:0045892	negative regulation of DNA-templated transcription [GO:0045892]	cytoplasm
O31611	reviewed	YJBM_BACSU	GTP pyrophosphokinase YjbM (EC 2.7.6.5) ((p)ppGpp synthase YjbM) (Small alarmone synthase 1) (SAS 1)	yjbM BSU11600	Bacillus subtilis 168	NP_389042.1; NC_000964.3.;WP_003245294.1; NZ_JNCM01000035.1.;	211	BSU11600	PATHWAY: Purine metabolism; ppGpp biosynthesis; ppGpp from GTP: step 1/2.	GO:0005524; GO:0005525; GO:0008728; GO:0015970; GO:0016301; GO:0016310; GO:0046872	guanosine tetraphosphate biosynthetic process [GO:0015970]; phosphorylation [GO:0016310]	unknown
O31612	reviewed	NADK1_BACSU	NAD kinase 1 (EC 2.7.1.23) (ATP-dependent NAD kinase) (Poly(P)-dependent NAD kinase) (PPNK)	ppnKA nadF yjbN BSU11610	Bacillus subtilis 168	NP_389043.1; NC_000964.3.;WP_003232918.1; NZ_JNCM01000035.1.;	266	BSU11610	NA	GO:0003951; GO:0005524; GO:0005737; GO:0006741; GO:0016310; GO:0019674; GO:0046872; GO:0051287	NAD metabolic process [GO:0019674]; NADP biosynthetic process [GO:0006741]; phosphorylation [GO:0016310]	cytoplasm
O31616	reviewed	GLYOX_BACSU	Glycine oxidase (GO) (EC 1.4.3.19)	thiO goxB yjbR BSU11670	Bacillus subtilis 168	NP_389049.1; NC_000964.3.;WP_003245044.1; NZ_JNCM01000035.1.;	369	BSU11670	PATHWAY: Cofactor biosynthesis; thiamine diphosphate biosynthesis. {ECO:0000269|PubMed:12627963}.	GO:0005737; GO:0006520; GO:0009228; GO:0009229; GO:0009635; GO:0016491; GO:0043799; GO:0071949	amino acid metabolic process [GO:0006520]; response to herbicide [GO:0009635]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]	cytoplasm
O31644	reviewed	MANR_BACSU	Transcriptional regulator ManR (Mannose operon transcriptional activator) [Includes: Putative phosphotransferase enzyme IIB component (EC 2.7.1.191) (Putative PTS system EIIB component); Putative phosphotransferase enzyme IIA component (Putative PTS system EIIA component)]	manR BSU12000	Bacillus subtilis 168	NP_389082.2; NC_000964.3.;WP_003245617.1; NZ_JNCM01000035.1.;	648	BSU12000	NA	GO:0003677; GO:0006355; GO:0008982; GO:0009401; GO:0016301; GO:0016310	phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; phosphorylation [GO:0016310]; regulation of DNA-templated transcription [GO:0006355]	unknown
O31645	reviewed	PTN3B_BACSU	PTS system mannose-specific EIIBCA component (EIIBCA-Man) (EII-Man) [Includes: Mannose-specific phosphotransferase enzyme IIB component (EC 2.7.1.191) (PTS system mannose-specific EIIB component); Mannose permease IIC component (PTS system mannose-specific EIIC component); Mannose-specific phosphotransferase enzyme IIA component (PTS system mannose-specific EIIA component)]	manP yjdD BSU12010	Bacillus subtilis 168	NP_389083.2; NC_000964.3.;WP_003245781.1; NZ_JNCM01000035.1.;	650	BSU12010	NA	GO:0005351; GO:0005886; GO:0009401; GO:0016301; GO:0016310; GO:0022877; GO:0090563	phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; phosphorylation [GO:0016310]	inner membrane
O31662	reviewed	MTNA_BACSU	Methylthioribose-1-phosphate isomerase (M1Pi) (MTR-1-P isomerase) (EC 5.3.1.23) (S-methyl-5-thioribose-1-phosphate isomerase)	mtnA ykrS BSU13550	Bacillus subtilis 168	NP_389238.1; NC_000964.3.;WP_003232498.1; NZ_JNCM01000035.1.;	353	BSU13550	PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via salvage pathway; L-methionine from S-methyl-5-thio-alpha-D-ribose 1-phosphate: step 1/6. {ECO:0000255|HAMAP-Rule:MF_01678}.	GO:0019284; GO:0019509; GO:0046523	L-methionine salvage from methylthioadenosine [GO:0019509]; L-methionine salvage from S-adenosylmethionine [GO:0019284]	unknown
O31677	reviewed	QUEE_BACSU	7-carboxy-7-deazaguanine synthase (CDG synthase) (EC 4.3.99.3) (Queuosine biosynthesis protein QueE)	queE ykvL BSU13740	Bacillus subtilis 168	NP_389257.1; NC_000964.3.;WP_003232460.1; NZ_JNCM01000035.1.;	243	BSU13740	PATHWAY: Purine metabolism; 7-cyano-7-deazaguanine biosynthesis. {ECO:0000255|HAMAP-Rule:MF_00917, ECO:0000269|PubMed:19354300}.	GO:0000287; GO:0008616; GO:0016840; GO:0042803; GO:0051539; GO:1904047	queuosine biosynthetic process [GO:0008616]	unknown
O31678	reviewed	QUEF_BACSU	NADPH-dependent 7-cyano-7-deazaguanine reductase (EC 1.7.1.13) (7-cyano-7-carbaguanine reductase) (NADPH-dependent nitrile oxidoreductase) (PreQ(0) reductase)	queF ykvM BSU13750	Bacillus subtilis 168	NP_389258.1; NC_000964.3.;WP_003218613.1; NZ_JNCM01000035.1.;	165	BSU13750	PATHWAY: tRNA modification; tRNA-queuosine biosynthesis.	GO:0005737; GO:0008616; GO:0033739; GO:0046872	queuosine biosynthetic process [GO:0008616]	cytoplasm
O31691	reviewed	GLCT_BACSU	PtsGHI operon antiterminator (RNA-binding antitermination protein GlcT)	glcT ykwA BSU13880	Bacillus subtilis 168	NP_389271.2; NC_000964.3.;	281	BSU13880	NA	GO:0003723; GO:0045893	positive regulation of DNA-templated transcription [GO:0045893]	unknown
O31718	reviewed	RPOY_BACSU	DNA-directed RNA polymerase subunit epsilon (RNAP epsilon subunit) (EC 2.7.7.6) (DNA-directed RNA polymerase subunit omega 1) (RNA polymerase epsilon subunit) (RNA polymerase omega 1 subunit) (Transcriptase subunit epsilon) (Transcriptase subunit omega 1)	rpoY ykzG BSU14540	Bacillus subtilis 168	NP_389337.1; NC_000964.3.;WP_003222303.1; NZ_JNCM01000035.1.;	69	BSU14540	NA	GO:0000428; GO:0003677; GO:0003899; GO:0005737; GO:0006351; GO:0009295	DNA-templated transcription [GO:0006351]	cytoplasm
O31749	reviewed	PYRH_BACSU	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	pyrH smbA BSU16510	Bacillus subtilis 168	NP_389533.2; NC_000964.3.;WP_003220923.1; NZ_JNCM01000035.1.;	240	BSU16510	PATHWAY: Pyrimidine metabolism; CTP biosynthesis via de novo pathway; UDP from UMP (UMPK route): step 1/1.	GO:0005524; GO:0005829; GO:0006225; GO:0016310; GO:0033862; GO:0044210	'de novo' CTP biosynthetic process [GO:0044210]; phosphorylation [GO:0016310]; UDP biosynthetic process [GO:0006225]	cytoplasm
O31760	reviewed	RNJ2_BACSU	Ribonuclease J2 (RNase J2) (EC 3.1.-.-)	rnjB ymfA BSU16780	Bacillus subtilis 168	NP_389560.2; NC_000964.3.;WP_003231875.1; NZ_JNCM01000035.1.;	555	BSU16780	NA	GO:0003723; GO:0004521; GO:0004534; GO:0005737; GO:0006364; GO:0006397; GO:0008270	mRNA processing [GO:0006397]; rRNA processing [GO:0006364]	cytoplasm
O31774	reviewed	RNY_BACSU	Ribonuclease Y (RNase Y) (EC 3.1.-.-)	rny ymdA BSU16960	Bacillus subtilis 168	NP_389578.1; NC_000964.3.;WP_003221010.1; NZ_JNCM01000035.1.;	520	BSU16960	NA	GO:0003723; GO:0004521; GO:0005886; GO:0006397; GO:0006402; GO:0042802	mRNA catabolic process [GO:0006402]; mRNA processing [GO:0006397]	inner membrane
O31775	reviewed	YMDB_BACSU	2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16) (Global regulator YmdB)	ymdB BSU16970	Bacillus subtilis 168	NP_389579.2; NC_000964.3.;WP_003245138.1; NZ_JNCM01000035.1.;	264	BSU16970	NA	GO:0004113; GO:0005737; GO:0008663; GO:0046872	NA	cytoplasm
O31851	reviewed	YOJM_BACSU	Superoxide dismutase-like protein YojM	yojM BSU19400	Bacillus subtilis 168	NP_389822.1; NC_000964.3.;WP_004399243.1; NZ_JNCM01000036.1.;	196	BSU19400	NA	GO:0004784; GO:0005507; GO:0005615; GO:0005886; GO:0008270; GO:0019430; GO:0042597; GO:0042802; GO:0043167	removal of superoxide radicals [GO:0019430]	inner membrane
O31854	reviewed	CDAS_BACSU	Cyclic di-AMP synthase CdaS (c-di-AMP synthase) (EC 2.7.7.85) (Diadenylate cyclase) (DAC)	cdaS dacB yojJ BSU19430	Bacillus subtilis 168	NP_389825.3; NC_000964.3.;WP_010886531.1; NZ_JNCM01000036.1.;	207	BSU19430	NA	GO:0004016; GO:0005524; GO:0006171; GO:0106408	cAMP biosynthetic process [GO:0006171]	unknown
O32001	reviewed	YOKF_BACSU	SPbeta prophage-derived endonuclease YokF (EC 3.1.-.-)	yokF BSU21610	Bacillus subtilis 168	NP_390044.1; NC_000964.3.;WP_004399048.1; NZ_JNCM01000036.1.;	296	BSU21610	NA	GO:0003676; GO:0004518; GO:0004519; GO:0005886; GO:0046872	NA	inner membrane
O32076	reviewed	FLOT_BACSU	Flotillin-like protein FloT (Bacterial flotillin homolog YuaG)	floT yuaG yuaH BSU31010	Bacillus subtilis 168	NP_390979.1; NC_000964.3.;WP_003228960.1; NZ_JNCM01000033.1.;	509	BSU31010	NA	GO:0005886; GO:0008360; GO:0044853; GO:0072659	protein localization to plasma membrane [GO:0072659]; regulation of cell shape [GO:0008360]	inner membrane
O32129	reviewed	LIPA_BACSU	Lipoyl synthase (EC 2.8.1.8) (Lip-syn) (LS) (Lipoate synthase) (Lipoic acid synthase) (Sulfur insertion protein LipA)	lipA yutB BSU32330	Bacillus subtilis 168	NP_391113.2; NC_000964.3.;WP_003222888.1; NZ_JNCM01000033.1.;	298	BSU32330	PATHWAY: Protein modification; protein lipoylation via endogenous pathway; protein N(6)-(lipoyl)lysine from octanoyl-[acyl-carrier-protein]. {ECO:0000255|HAMAP-Rule:MF_00206, ECO:0000269|PubMed:19820084}.	GO:0005737; GO:0009107; GO:0009249; GO:0016992; GO:0046872; GO:0051539	lipoate biosynthetic process [GO:0009107]; protein lipoylation [GO:0009249]	cytoplasm
O32141	reviewed	PUCL_BACSU	Uric acid degradation bifunctional protein PucL [Includes: 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase (OHCU decarboxylase) (EC 4.1.1.97); Uricase (EC 1.7.3.3) (Urate oxidase)]	pucL yunL BSU32450	Bacillus subtilis 168	NP_391125.1; NC_000964.3.;WP_003242600.1; NZ_JNCM01000033.1.;	494	BSU32450	PATHWAY: Purine metabolism; urate degradation; (S)-allantoin from urate: step 1/3.; PATHWAY: Purine metabolism; urate degradation; (S)-allantoin from urate: step 3/3.	GO:0000255; GO:0004846; GO:0005777; GO:0006144; GO:0019628; GO:0051997	allantoin metabolic process [GO:0000255]; purine nucleobase metabolic process [GO:0006144]; urate catabolic process [GO:0019628]	unknown
O32142	reviewed	HIUH_BACSU	5-hydroxyisourate hydrolase (HIU hydrolase) (HIUHase) (EC 3.5.2.17) (Transthyretin-related protein) (TRP)	pucM yunM BSU32460	Bacillus subtilis 168	NP_391126.2; NC_000964.3.;WP_003244132.1; NZ_JNCM01000033.1.;	114	BSU32460	PATHWAY: Purine metabolism; urate degradation; (S)-allantoin from urate: step 2/3.	GO:0006144; GO:0019628; GO:0033971; GO:0042802	purine nucleobase metabolic process [GO:0006144]; urate catabolic process [GO:0019628]	unknown
O32148	reviewed	PUCG_BACSU	(S)-ureidoglycine--glyoxylate transaminase (UGXT) (EC 2.6.1.112) ((S)-ureidoglycine--glyoxylate aminotransferase) (Purine catabolism protein PucG)	pucG yurG BSU32520	Bacillus subtilis 168	NP_391132.1; NC_000964.3.;WP_003244520.1; NZ_JNCM01000033.1.;	416	BSU32520	PATHWAY: Nitrogen metabolism; (S)-allantoin degradation. {ECO:0000305|PubMed:11344136, ECO:0000305|PubMed:20852637}.	GO:0000256; GO:0004760; GO:0005777; GO:0006144; GO:0008453; GO:0019265	allantoin catabolic process [GO:0000256]; glycine biosynthetic process, by transamination of glyoxylate [GO:0019265]; purine nucleobase metabolic process [GO:0006144]	unknown
O32163	reviewed	SUFU_BACSU	Zinc-dependent sulfurtransferase SufU (EC 2.-.-.-) (Putative iron-sulfur cluster assembly scaffold protein SufU) (Sulfur acceptor protein SufU)	sufU iscU nifU yurV BSU32680	Bacillus subtilis 168	NP_391147.1; NC_000964.3.;WP_003222809.1; NZ_JNCM01000033.1.;	147	BSU32680	NA	GO:0005737; GO:0006879; GO:0008198; GO:0016226; GO:0016740; GO:0051537	intracellular iron ion homeostasis [GO:0006879]; iron-sulfur cluster assembly [GO:0016226]	unknown
O32164	reviewed	SUFS_BACSU	Cysteine desulfurase SufS (EC 2.8.1.7)	sufS csd yurW BSU32690	Bacillus subtilis 168	NP_391148.1; NC_000964.3.;WP_003228604.1; NZ_JNCM01000033.1.;	406	BSU32690	NA	GO:0006534; GO:0030170; GO:0031071	cysteine metabolic process [GO:0006534]	unknown
O32219	reviewed	CADA_BACSU	Cadmium, zinc and cobalt-transporting ATPase (EC 7.2.2.12) (EC 7.2.2.21)	cadA yvgW BSU33490	Bacillus subtilis 168	NP_391229.2; NC_000964.3.;	702	BSU33490	NA	GO:0005524; GO:0005886; GO:0006824; GO:0006825; GO:0006829; GO:0008551; GO:0015086; GO:0016020; GO:0016463; GO:0016887; GO:0030001; GO:0046686; GO:0046872; GO:0055085	cobalt ion transport [GO:0006824]; copper ion transport [GO:0006825]; metal ion transport [GO:0030001]; response to cadmium ion [GO:0046686]; transmembrane transport [GO:0055085]; zinc ion transport [GO:0006829]	inner membrane
O32220	reviewed	COPA_BACSU	Copper-exporting P-type ATPase (Protein CopA) (EC 7.2.2.8) (Copper-exporting P-type ATPase A) (Cu(+)-exporting ATPase)	copA yvgX BSU33500	Bacillus subtilis 168	NP_391230.2; NC_000964.3.;WP_003242925.1; NZ_JNCM01000033.1.;	802	BSU33500	NA	GO:0005507; GO:0005524; GO:0005886; GO:0006878; GO:0015677; GO:0016020; GO:0016887; GO:0042802; GO:0043682; GO:0055070; GO:0060003; GO:0140581	copper ion export [GO:0060003]; copper ion homeostasis [GO:0055070]; copper ion import [GO:0015677]; intracellular copper ion homeostasis [GO:0006878]	inner membrane
O32224	reviewed	AZOR2_BACSU	FMN-dependent NADH:quinone oxidoreductase 2 (EC 1.6.5.-) (Azo-dye reductase 2) (FMN-dependent NADH-azo compound oxidoreductase 2) (FMN-dependent NADH-azoreductase 2) (EC 1.7.1.17)	azoR2 yvaB BSU33540	Bacillus subtilis 168	NP_391234.1; NC_000964.3.;WP_003243587.1; NZ_JNCM01000033.1.;	211	BSU33540	NA	GO:0009055; GO:0009636; GO:0010181; GO:0016652; GO:0016655; GO:0019439	aromatic compound catabolic process [GO:0019439]; response to toxic substance [GO:0009636]	unknown
O34313	reviewed	NTPES_BACSU	Trifunctional nucleotide phosphoesterase protein YfkN [Includes: 2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase (EC 3.1.3.6) (EC 3.1.4.16); 5'-nucleotidase (EC 3.1.3.5)]	yfkN BSU07840	Bacillus subtilis 168	NP_388665.1; NC_000964.3.;WP_010886443.1; NZ_JNCM01000032.1.;	1462	BSU07840	NA	GO:0000166; GO:0005576; GO:0008254; GO:0008663; GO:0009166; GO:0030288; GO:0046872; GO:0106411	nucleotide catabolic process [GO:0009166]	secreted
O34327	reviewed	RAPJ_BACSU	Response regulator aspartate phosphatase J (EC 3.1.3.-)	rapJ ycdE BSU02820	Bacillus subtilis 168	NP_388164.1; NC_000964.3.;WP_003246478.1; NZ_JNCM01000030.1.;	373	BSU02820	NA	GO:0004721; GO:0005737; GO:0008152; GO:0030435	metabolic process [GO:0008152]; sporulation resulting in formation of a cellular spore [GO:0030435]	cytoplasm
O34344	reviewed	SDPC_BACSU	Sporulation delaying protein C (SdpC) (Cannibalism toxin SDP) (Killing factor SdpC) (Toxic peptide SdpC) [Cleaved into: Sporulation delaying protein (SDP)]	sdpC yvaY BSU33770	Bacillus subtilis 168	NP_391257.1; NC_000964.3.;WP_003243360.1; NZ_JNCM01000033.1.;	203	BSU33770	NA	GO:0001906; GO:0005576; GO:0031640; GO:0042742; GO:0090729	cell killing [GO:0001906]; defense response to bacterium [GO:0042742]; killing of cells of another organism [GO:0031640]	secreted
O34398	reviewed	LIGD_BACSU	Bifunctional non-homologous end joining protein LigD (NHEJ DNA polymerase) [Includes: DNA ligase (Lig) (EC 6.5.1.1) (Polydeoxyribonucleotide synthase [ATP]); DNA repair polymerase (Pol) (Polymerase/primase)]	ligd ykoU BSU13400	Bacillus subtilis 168	NP_389223.1; NC_000964.3.;WP_010886495.1; NZ_JNCM01000035.1.;	611	BSU13400	NA	GO:0003677; GO:0003887; GO:0003910; GO:0004527; GO:0005524; GO:0006281; GO:0006310; GO:0030435; GO:0046872	DNA recombination [GO:0006310]; DNA repair [GO:0006281]; sporulation resulting in formation of a cellular spore [GO:0030435]	unknown
O34403	reviewed	FPG_BACSU	Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18)	mutM fpg ytaE BSU29080	Bacillus subtilis 168	NP_390786.2; NC_000964.3.;WP_003246122.1; NZ_JNCM01000036.1.;	276	BSU29080	NA	GO:0003684; GO:0003906; GO:0006284; GO:0008270; GO:0034039; GO:0140078	base-excision repair [GO:0006284]	unknown
