Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ordered locus)	Pathway	Gene Ontology IDs	Subcellular location [CC]
Q88D93	reviewed	HLDE_PSEPK	Bifunctional protein HldE [Includes: D-beta-D-heptose 7-phosphate kinase (EC 2.7.1.167) (D-beta-D-heptose 7-phosphotransferase) (D-glycero-beta-D-manno-heptose-7-phosphate kinase); D-beta-D-heptose 1-phosphate adenylyltransferase (EC 2.7.7.70) (D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase)]	hldE rfaE PP_4934	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	473	PP_4934	PATHWAY: Nucleotide-sugar biosynthesis; ADP-L-glycero-beta-D-manno-heptose biosynthesis; ADP-L-glycero-beta-D-manno-heptose from D-glycero-beta-D-manno-heptose 7-phosphate: step 1/4. {ECO:0000255|HAMAP-Rule:MF_01603}.; PATHWAY: Nucleotide-sugar biosynthesis; ADP-L-glycero-beta-D-manno-heptose biosynthesis; ADP-L-glycero-beta-D-manno-heptose from D-glycero-beta-D-manno-heptose 7-phosphate: step 3/4. {ECO:0000255|HAMAP-Rule:MF_01603}.	GO:0005524; GO:0005829; GO:0016773; GO:0033785; GO:0033786; GO:0097171	NA
Q88DU5	reviewed	CARA_PSEPK	Carbamoyl phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl phosphate synthetase glutamine chain)	carA PP_4724	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	378	PP_4724	PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; carbamoyl phosphate from bicarbonate: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01209}.; PATHWAY: Pyrimidine metabolism; UMP biosynthesis via de novo pathway; (S)-dihydroorotate from bicarbonate: step 1/3. {ECO:0000255|HAMAP-Rule:MF_01209}.	GO:0004088; GO:0004359; GO:0005524; GO:0005951; GO:0006207; GO:0006526; GO:0006541; GO:0044205	NA
Q88DU6	reviewed	CARB_PSEPK	Carbamoyl phosphate synthase large chain (EC 6.3.4.16) (EC 6.3.5.5) (Carbamoyl phosphate synthetase ammonia chain)	carB PP_4723	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	1073	PP_4723	PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; carbamoyl phosphate from bicarbonate: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01210}.; PATHWAY: Pyrimidine metabolism; UMP biosynthesis via de novo pathway; (S)-dihydroorotate from bicarbonate: step 1/3. {ECO:0000255|HAMAP-Rule:MF_01210}.	GO:0004070; GO:0004087; GO:0004088; GO:0004151; GO:0005524; GO:0005829; GO:0006207; GO:0006228; GO:0006526; GO:0006541; GO:0019240; GO:0044205; GO:0046872	NA
Q88DV1	unreviewed	Q88DV1_PSEPK	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-)	ftsH PP_4718	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	637	PP_4718	NA	GO:0004176; GO:0004222; GO:0005524; GO:0005886; GO:0006508; GO:0008270; GO:0016887; GO:0030163	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|HAMAP-Rule:MF_01458}; Multi-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_01458}; Cytoplasmic side {ECO:0000256|HAMAP-Rule:MF_01458}.
Q88DZ0	reviewed	ILVC_PSEPK	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 1) (Ketol-acid reductoisomerase type I)	ilvC PP_4678	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	338	PP_4678	PATHWAY: Amino-acid biosynthesis; L-isoleucine biosynthesis; L-isoleucine from 2-oxobutanoate: step 2/4. {ECO:0000255|HAMAP-Rule:MF_00435}.; PATHWAY: Amino-acid biosynthesis; L-valine biosynthesis; L-valine from pyruvate: step 2/4. {ECO:0000255|HAMAP-Rule:MF_00435}.	GO:0000287; GO:0004455; GO:0005829; GO:0008652; GO:0009097; GO:0009099; GO:0050661	NA
Q88DZ5	unreviewed	Q88DZ5_PSEPK	RecBCD enzyme subunit RecB (EC 3.1.11.5) (EC 5.6.2.4) (DNA 3'-5' helicase subunit RecB) (Exonuclease V subunit RecB) (ExoV subunit RecB) (Helicase/nuclease RecBCD subunit RecB)	recB PP_4673	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	1224	PP_4673	NA	GO:0000287; GO:0000724; GO:0003677; GO:0005524; GO:0005829; GO:0008854; GO:0009338; GO:0016887; GO:0043138	NA
Q88EI9	reviewed	AK_PSEPK	Aspartate kinase (EC 2.7.2.4) (Aspartokinase)	PP_4473	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	411	PP_4473	PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; (S)-tetrahydrodipicolinate from L-aspartate: step 1/4.; PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 1/3.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 1/5.	GO:0004072; GO:0005524; GO:0005829; GO:0009086; GO:0009088; GO:0009089; GO:0009090; GO:0016310	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
Q88EQ6	reviewed	YCGR_PSEPK	Flagellar brake protein YcgR (Cyclic di-GMP binding protein YcgR)	ycgR PP_4397	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	247	PP_4397	NA	GO:0009425; GO:0035438; GO:0071945; GO:0071973	SUBCELLULAR LOCATION: Bacterial flagellum basal body {ECO:0000250}.
Q88F51	reviewed	PPNP_PSEPK	Pyrimidine/purine nucleoside phosphorylase (EC 2.4.2.1) (EC 2.4.2.2) (Adenosine phosphorylase) (Cytidine phosphorylase) (Guanosine phosphorylase) (Inosine phosphorylase) (Thymidine phosphorylase) (Uridine phosphorylase) (Xanthosine phosphorylase)	ppnP PP_4248	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	94	PP_4248	NA	GO:0004731; GO:0004850; GO:0005829; GO:0009032; GO:0016154; GO:0047975	NA
Q88F89	reviewed	PVDR_PSEPK	Pyoverdine export membrane fusion protein PvdR (Periplasmic adapter protein PvdR)	pvdR PP_4209	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	392	PP_4209	NA	GO:0015562; GO:0019898; GO:0042597; GO:1990195; GO:1990281; GO:1990961	SUBCELLULAR LOCATION: Periplasm {ECO:0000269|PubMed:36807028}.
Q88FI7	reviewed	2AAAT_PSEPK	2-aminoadipate transaminase (EC 2.6.1.39) (2-aminoadipate aminotransferase) (L-2AA aminotransferase)	PP_4108	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	416	PP_4108	PATHWAY: Amino-acid degradation. {ECO:0000269|PubMed:31064836}.	GO:0008483; GO:0030170; GO:0042802	NA
Q88FQ8	reviewed	NUDC_PSEPK	NAD-capped RNA hydrolase NudC (DeNADding enzyme NudC) (EC 3.6.1.-) (NADH pyrophosphatase) (EC 3.6.1.22)	nudC PP_4029 PP4029	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	276	PP_4029	NA	GO:0000210; GO:0000287; GO:0005777; GO:0005829; GO:0006734; GO:0006742; GO:0008270; GO:0019677; GO:0030145; GO:0035529; GO:0110153	NA
Q88FT3	reviewed	CYSG_PSEPK	Siroheme synthase [Includes: Uroporphyrinogen-III C-methyltransferase (Urogen III methylase) (EC 2.1.1.107) (SUMT) (Uroporphyrinogen III methylase) (UROM); Precorrin-2 dehydrogenase (EC 1.3.1.76); Sirohydrochlorin ferrochelatase (EC 4.99.1.4)]	cysG cobA-2 PP_3999	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	463	PP_3999	PATHWAY: Cofactor biosynthesis; adenosylcobalamin biosynthesis; precorrin-2 from uroporphyrinogen III: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01646}.; PATHWAY: Cofactor biosynthesis; adenosylcobalamin biosynthesis; sirohydrochlorin from precorrin-2: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01646}.; PATHWAY: Porphyrin-containing compound metabolism; siroheme biosynthesis; precorrin-2 from uroporphyrinogen III: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01646}.; PATHWAY: Porphyrin-containing compound metabolism; siroheme biosynthesis; siroheme from sirohydrochlorin: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01646}.; PATHWAY: Porphyrin-containing compound metabolism; siroheme biosynthesis; sirohydrochlorin from precorrin-2: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01646}.	GO:0004851; GO:0009236; GO:0019354; GO:0032259; GO:0043115; GO:0051266; GO:0051287	NA
Q88FX8	reviewed	NICB_PSEPK	Nicotinate dehydrogenase subunit B (EC 1.17.2.1) (Nicotinate degradation protein B) (Nicotinate dehydrogenase large subunit)	nicB ndhL PP_3948	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	1187	PP_3948	PATHWAY: Cofactor degradation; nicotinate degradation. {ECO:0000269|PubMed:18678916}.	GO:0009055; GO:0016020; GO:0016725; GO:0019439; GO:0020037; GO:0046872	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Q88FX9	reviewed	NICA_PSEPK	Nicotinate dehydrogenase subunit A (EC 1.17.2.1) (Nicotinate degradation protein A) (Nicotinate dehydrogenase small subunit)	nicA ndhS PP_3947	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	157	PP_3947	PATHWAY: Cofactor degradation; nicotinate degradation. {ECO:0000269|PubMed:18678916}.	GO:0016725; GO:0019439; GO:0046872; GO:0051537	NA
Q88FY3	reviewed	NICD_PSEPK	N-formylmaleamate deformylase (EC 3.5.1.106) (Nicotinate degradation protein D)	nicD PP_3943	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	268	PP_3943	PATHWAY: Cofactor degradation; nicotinate degradation. {ECO:0000269|PubMed:18678916}.	GO:0016811; GO:0019439	NA
Q88GQ0	reviewed	KATG_PSEPK	Catalase-peroxidase (CP) (EC 1.11.1.21) (Peroxidase/catalase)	katG PP_3668	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	751	PP_3668	NA	GO:0004096; GO:0005829; GO:0020037; GO:0042744; GO:0046872; GO:0070301	NA
Q88H32	reviewed	OCD_PSEPK	Ornithine cyclodeaminase (OCD) (EC 4.3.1.12)	ocd PP_3533	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	350	PP_3533	PATHWAY: Amino-acid biosynthesis; L-proline biosynthesis; L-proline from L-ornithine: step 1/1. {ECO:0000269|PubMed:23806148}.	GO:0000166; GO:0005737; GO:0008473; GO:0042403; GO:0055129; GO:0070324	NA
Q88HH7	reviewed	PTXS_PSEPK	HTH-type transcriptional regulator PtxS	ptxS PP_3380	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	339	PP_3380	NA	GO:0000976; GO:0001217; GO:0032993; GO:0042802	NA
Q88IU0	reviewed	GLAH_PSEPK	Glutarate 2-hydroxylase (G-2-H) (EC 1.14.11.64)	glaH csiD PP_2909	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	325	PP_2909	PATHWAY: Amino-acid degradation. {ECO:0000255|HAMAP-Rule:MF_01083, ECO:0000269|PubMed:31064836}.	GO:0008198; GO:0019477; GO:0050498; GO:0106343	NA
Q88JX8	reviewed	GALB_PSEPK	4-oxalmesaconate hydratase (OMA hydratase) (EC 4.2.1.83) (Gallate degradation protein B)	galB PP_2515	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	258	PP_2515	NA	GO:0000225; GO:0006506; GO:0019396; GO:0046872; GO:0047584	NA
Q88JX9	reviewed	GALC_PSEPK	4-carboxy-4-hydroxy-2-oxoadipic acid aldolase (CHA aldolase) (EC 4.1.3.17) (Gallate degradation protein C)	galC PP_2514	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	238	PP_2514	NA	GO:0016833; GO:0019396; GO:0046872; GO:0047443	NA
Q88KV1	reviewed	MIAE_PSEPK	tRNA 2-(methylsulfanyl)-N(6)-isopentenyladenosine(37) hydroxylase (EC 1.14.99.69) (2-methylthio-N6-isopentenyladenosine(37)-tRNA monooxygenase) (tRNA-(ms[2]io[6]A37)-hydroxylase)	miaE PP_2188	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	205	PP_2188	PATHWAY: tRNA modification; 2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine-tRNA biosynthesis. {ECO:0000269|PubMed:32785618}.	GO:0004497; GO:0006400; GO:0045301; GO:0046872	NA
