Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ordered locus)	Pathway	Gene Ontology IDs	Subcellular location [CC]
A0A140N5R8	unreviewed	A0A140N5R8_ECOBD	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	fadJ ECBD_1319	Escherichia coli (strain B / BL21-DE3)	714	ECBD_1319	PATHWAY: Lipid metabolism; fatty acid beta-oxidation. {ECO:0000256|ARBA:ARBA00005005, ECO:0000256|HAMAP-Rule:MF_01617}.	GO:0003857; GO:0004300; GO:0005737; GO:0006635; GO:0008692; GO:0070403	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_01617}.
A0A140N688	unreviewed	A0A140N688_ECOBD	dITP/XTP pyrophosphatase (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	ECBD_0786	Escherichia coli (strain B / BL21-DE3)	197	ECBD_0786	NA	GO:0000166; GO:0005829; GO:0009117; GO:0009146; GO:0017111; GO:0035870; GO:0036220; GO:0036222; GO:0046872	NA
A0A140N6F4	unreviewed	A0A140N6F4_ECOBD	Flavohemoprotein (Flavohemoglobin) (Hemoglobin-like protein) (Nitric oxide dioxygenase) (NO oxygenase) (NOD) (EC 1.14.12.17)	hmp ECBD_1132	Escherichia coli (strain B / BL21-DE3)	396	ECBD_1132	NA	GO:0005344; GO:0008941; GO:0009636; GO:0019825; GO:0020037; GO:0046210; GO:0046872; GO:0071500; GO:0071949	NA
A0A140N6T1	unreviewed	A0A140N6T1_ECOBD	N-acetylmuramic acid 6-phosphate etherase (MurNAc-6-P etherase) (EC 4.2.1.126) (N-acetylmuramic acid 6-phosphate hydrolase) (N-acetylmuramic acid 6-phosphate lyase)	murQ ECBD_1253	Escherichia coli (strain B / BL21-DE3)	298	ECBD_1253	PATHWAY: Amino-sugar metabolism; 1,6-anhydro-N-acetylmuramate degradation. {ECO:0000256|HAMAP-Rule:MF_00068}.; PATHWAY: Amino-sugar metabolism; N-acetylmuramate degradation. {ECO:0000256|HAMAP-Rule:MF_00068}.; PATHWAY: Cell wall biogenesis; peptidoglycan recycling. {ECO:0000256|HAMAP-Rule:MF_00068}.	GO:0004857; GO:0005829; GO:0009254; GO:0009750; GO:0016301; GO:0016310; GO:0016803; GO:0016835; GO:0019899; GO:0030246; GO:0042593; GO:0046348; GO:0070095; GO:0097173; GO:0097175	NA
A0A140N6T6	unreviewed	A0A140N6T6_ECOBD	Siroheme synthase [Includes: Uroporphyrinogen-III C-methyltransferase (Urogen III methylase) (EC 2.1.1.107) (SUMT) (Uroporphyrinogen III methylase) (UROM); Precorrin-2 dehydrogenase (EC 1.3.1.76); Sirohydrochlorin ferrochelatase (EC 4.99.1.4)]	cysG ECBD_0380	Escherichia coli (strain B / BL21-DE3)	457	ECBD_0380	PATHWAY: Cofactor biosynthesis; adenosylcobalamin biosynthesis; precorrin-2 from uroporphyrinogen III: step 1/1. {ECO:0000256|HAMAP-Rule:MF_01646}.; PATHWAY: Cofactor biosynthesis; adenosylcobalamin biosynthesis; sirohydrochlorin from precorrin-2: step 1/1. {ECO:0000256|HAMAP-Rule:MF_01646}.; PATHWAY: Porphyrin-containing compound metabolism; siroheme biosynthesis; precorrin-2 from uroporphyrinogen III: step 1/1. {ECO:0000256|ARBA:ARBA00025705, ECO:0000256|HAMAP-Rule:MF_01646}.; PATHWAY: Porphyrin-containing compound metabolism; siroheme biosynthesis; siroheme from sirohydrochlorin: step 1/1. {ECO:0000256|HAMAP-Rule:MF_01646}.; PATHWAY: Porphyrin-containing compound metabolism; siroheme biosynthesis; sirohydrochlorin from precorrin-2: step 1/1. {ECO:0000256|ARBA:ARBA00005010, ECO:0000256|HAMAP-Rule:MF_01646}.	GO:0004851; GO:0009236; GO:0019354; GO:0032259; GO:0043115; GO:0051266; GO:0051287	NA
A0A140N6T9	unreviewed	A0A140N6T9_ECOBD	Pyridoxine/pyridoxal/pyridoxamine kinase (PN/PL/PM kinase) (EC 2.7.1.35) (B6-vitamer kinase)	pdxK ECBD_1263	Escherichia coli (strain B / BL21-DE3)	283	ECBD_1263	PATHWAY: Cofactor metabolism; pyridoxal 5'-phosphate salvage; pyridoxal 5'-phosphate from pyridoxal: step 1/1. {ECO:0000256|HAMAP-Rule:MF_01638}.; PATHWAY: Cofactor metabolism; pyridoxal 5'-phosphate salvage; pyridoxamine 5'-phosphate from pyridoxamine: step 1/1. {ECO:0000256|HAMAP-Rule:MF_01638}.; PATHWAY: Cofactor metabolism; pyridoxal 5'-phosphate salvage; pyridoxine 5'-phosphate from pyridoxine: step 1/1. {ECO:0000256|HAMAP-Rule:MF_01638}.	GO:0000287; GO:0005524; GO:0005829; GO:0008270; GO:0008478; GO:0008902; GO:0009443; GO:0016310	NA
A0A140N7B0	unreviewed	A0A140N7B0_ECOBD	Acetylornithine/succinyldiaminopimelate aminotransferase (ACOAT) (DapATase) (Succinyldiaminopimelate transferase) (EC 2.6.1.11) (EC 2.6.1.17)	argD dapC ECBD_0389	Escherichia coli (strain B / BL21-DE3)	406	ECBD_0389	PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; N(2)-acetyl-L-ornithine from L-glutamate: step 4/4. {ECO:0000256|HAMAP-Rule:MF_01107}.; PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; LL-2,6-diaminopimelate from (S)-tetrahydrodipicolinate (succinylase route): step 2/3. {ECO:0000256|HAMAP-Rule:MF_01107}.	GO:0003992; GO:0005737; GO:0006526; GO:0009016; GO:0009089; GO:0030170; GO:0042802	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_01107}.
A0A140N890	reviewed	YGEA_ECOBD	L-aspartate/glutamate-specific racemase (L-Asp/Glu-specific racemase) (EC 5.1.1.13) (EC 5.1.1.3) (EcL-DER)	ygeA ECBD_0884	Escherichia coli (strain B / BL21-DE3)	230	ECBD_0884	NA	GO:0008881; GO:0042802; GO:0047689	NA
A0A140N8X9	unreviewed	A0A140N8X9_ECOBD	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	glyA ECBD_1133	Escherichia coli (strain B / BL21-DE3)	417	ECBD_1133	PATHWAY: Amino-acid biosynthesis; glycine biosynthesis; glycine from L-serine: step 1/1. {ECO:0000256|HAMAP-Rule:MF_00051}.; PATHWAY: One-carbon metabolism; tetrahydrofolate interconversion. {ECO:0000256|HAMAP-Rule:MF_00051}.	GO:0004372; GO:0005829; GO:0006565; GO:0008168; GO:0008270; GO:0019264; GO:0030170; GO:0032259; GO:0035999; GO:0046655; GO:0050897; GO:0070905	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00051}.
A0A140N932	unreviewed	A0A140N932_ECOBD	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	pyrG ECBD_0949	Escherichia coli (strain B / BL21-DE3)	545	ECBD_0949	PATHWAY: Pyrimidine metabolism; CTP biosynthesis via de novo pathway; CTP from UDP: step 2/2. {ECO:0000256|ARBA:ARBA00005171, ECO:0000256|HAMAP-Rule:MF_01227}.	GO:0003883; GO:0004359; GO:0005524; GO:0005829; GO:0006541; GO:0019856; GO:0042802; GO:0044210; GO:0046872; GO:0097268	NA
A0A140N9P4	unreviewed	A0A140N9P4_ECOBD	Dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)	rlmN ECBD_1169	Escherichia coli (strain B / BL21-DE3)	384	ECBD_1169	NA	GO:0000049; GO:0002935; GO:0005737; GO:0019843; GO:0030488; GO:0046872; GO:0051539; GO:0070040; GO:0070475	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_01849}.
A0A140N9S0	unreviewed	A0A140N9S0_ECOBD	Nucleoside triphosphatase NudI (EC 3.6.1.9) (Nucleotide diphosphatase NudI) (Pyrimidine deoxynucleoside triphosphate diphosphatase) (dCTP diphosphatase) (EC 3.6.1.12) (dTTP diphosphatase) (EC 3.6.1.-) (dUTP diphosphatase) (EC 3.6.1.23)	nudI ECBD_1408	Escherichia coli (strain B / BL21-DE3)	141	ECBD_1408	NA	GO:0000287; GO:0004170; GO:0036218; GO:0047840	NA
A0A140NAA1	unreviewed	A0A140NAA1_ECOBD	Ribonuclease E (RNase E) (EC 3.1.26.12)	rne ECBD_2516	Escherichia coli (strain B / BL21-DE3)	1061	ECBD_2516	NA	GO:0000049; GO:0000287; GO:0004521; GO:0005737; GO:0006364; GO:0006402; GO:0008033; GO:0008270; GO:0008995; GO:0009898; GO:0019843	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00970}. Cell inner membrane {ECO:0000256|HAMAP-Rule:MF_00970}; Peripheral membrane protein {ECO:0000256|HAMAP-Rule:MF_00970}; Cytoplasmic side {ECO:0000256|HAMAP-Rule:MF_00970}.
A0A140NAP5	reviewed	YAFQ_ECOBD	mRNA interferase toxin YafQ (EC 3.1.-.-) (Endoribonuclease YafQ) (Toxin YafQ)	yafQ ECBD_3397	Escherichia coli (strain B / BL21-DE3)	92	ECBD_3397	NA	GO:0003677; GO:0003723; GO:0004521; GO:0006402; GO:0006415	NA
A0A140NAW9	unreviewed	A0A140NAW9_ECOBD	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	adk ECBD_3182	Escherichia coli (strain B / BL21-DE3)	214	ECBD_3182	PATHWAY: Purine metabolism; AMP biosynthesis via salvage pathway; AMP from ADP: step 1/1. {ECO:0000256|HAMAP-Rule:MF_00235}.	GO:0004017; GO:0004127; GO:0004550; GO:0005524; GO:0005829; GO:0006225; GO:0016310; GO:0033862; GO:0044209; GO:0046705	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496, ECO:0000256|HAMAP-Rule:MF_00235, ECO:0000256|RuleBase:RU003331}.
A0A140NB88	unreviewed	A0A140NB88_ECOBD	Quinate/shikimate dehydrogenase (EC 1.1.1.282) (NAD-dependent shikimate 5-dehydrogenase)	ydiB ECBD_1954	Escherichia coli (strain B / BL21-DE3)	288	ECBD_1954	PATHWAY: Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 4/7. {ECO:0000256|HAMAP-Rule:MF_01578}.	GO:0004764; GO:0005829; GO:0008652; GO:0009073; GO:0009423; GO:0019632; GO:0030266; GO:0050661; GO:0052733; GO:0052734	NA
A0A140NC35	unreviewed	A0A140NC35_ECOBD	Bifunctional aspartokinase/homoserine dehydrogenase [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	ECBD_3616	Escherichia coli (strain B / BL21-DE3)	820	ECBD_3616	PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; (S)-tetrahydrodipicolinate from L-aspartate: step 1/4. {ECO:0000256|ARBA:ARBA00004766, ECO:0000256|PIRNR:PIRNR000727}.; PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 1/3. {ECO:0000256|ARBA:ARBA00004986, ECO:0000256|PIRNR:PIRNR000727}.; PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 3/3. {ECO:0000256|ARBA:ARBA00005062, ECO:0000256|PIRNR:PIRNR000727}.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 1/5. {ECO:0000256|ARBA:ARBA00005139, ECO:0000256|PIRNR:PIRNR000727}.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 3/5. {ECO:0000256|ARBA:ARBA00005056, ECO:0000256|PIRNR:PIRNR000727}.	GO:0004072; GO:0004412; GO:0005524; GO:0009088; GO:0009089; GO:0009090; GO:0016310; GO:0050661	NA
A0A140NCA6	unreviewed	A0A140NCA6_ECOBD	tRNA sulfurtransferase (EC 2.8.1.4) (Sulfur carrier protein ThiS sulfurtransferase) (Thiamine biosynthesis protein ThiI) (tRNA 4-thiouridine synthase)	thiI ECBD_3238	Escherichia coli (strain B / BL21-DE3)	482	ECBD_3238	PATHWAY: Cofactor biosynthesis; thiamine diphosphate biosynthesis. {ECO:0000256|HAMAP-Rule:MF_00021}.	GO:0000049; GO:0002937; GO:0004810; GO:0005524; GO:0005829; GO:0009228; GO:0009229; GO:0052837; GO:0140741	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496, ECO:0000256|HAMAP-Rule:MF_00021}.
A0A140NCS9	unreviewed	A0A140NCS9_ECOBD	Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate synthase) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase)	prs ECBD_2414	Escherichia coli (strain B / BL21-DE3)	337	ECBD_2414	PATHWAY: Metabolic intermediate biosynthesis; 5-phospho-alpha-D-ribose 1-diphosphate biosynthesis; 5-phospho-alpha-D-ribose 1-diphosphate from D-ribose 5-phosphate (route I): step 1/1. {ECO:0000256|HAMAP-Rule:MF_00583}.	GO:0000287; GO:0002189; GO:0004749; GO:0005524; GO:0005737; GO:0006015; GO:0006164; GO:0009156; GO:0016301; GO:0016310	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00583}.
A0A140NDE2	unreviewed	A0A140NDE2_ECOBD	Pyrimidine/purine nucleoside phosphorylase (EC 2.4.2.1) (EC 2.4.2.2) (Adenosine phosphorylase) (Cytidine phosphorylase) (Guanosine phosphorylase) (Inosine phosphorylase) (Thymidine phosphorylase) (Uridine phosphorylase) (Xanthosine phosphorylase)	ppnP ECBD_3273	Escherichia coli (strain B / BL21-DE3)	94	ECBD_3273	NA	GO:0004731; GO:0004850; GO:0005829; GO:0009032; GO:0016154; GO:0047975	NA
A0A140NDQ1	unreviewed	A0A140NDQ1_ECOBD	Xanthine-guanine phosphoribosyltransferase (XGPRT) (EC 2.4.2.22) (Xanthine phosphoribosyltransferase)	gpt ECBD_3383	Escherichia coli (strain B / BL21-DE3)	152	ECBD_3383	PATHWAY: Purine metabolism; GMP biosynthesis via salvage pathway; GMP from guanine: step 1/1. {ECO:0000256|HAMAP-Rule:MF_01903}.; PATHWAY: Purine metabolism; XMP biosynthesis via salvage pathway; XMP from xanthine: step 1/1. {ECO:0000256|HAMAP-Rule:MF_01903}.	GO:0000287; GO:0000310; GO:0004422; GO:0005829; GO:0005886; GO:0006166; GO:0032263; GO:0032264; GO:0032265; GO:0052657	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|HAMAP-Rule:MF_01903}; Peripheral membrane protein {ECO:0000256|HAMAP-Rule:MF_01903}.
A0A140NF10	unreviewed	A0A140NF10_ECOBD	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	ilvD ECBD_4268	Escherichia coli (strain B / BL21-DE3)	616	ECBD_4268	PATHWAY: Amino-acid biosynthesis; L-isoleucine biosynthesis; L-isoleucine from 2-oxobutanoate: step 3/4. {ECO:0000256|ARBA:ARBA00029437, ECO:0000256|HAMAP-Rule:MF_00012}.; PATHWAY: Amino-acid biosynthesis; L-valine biosynthesis; L-valine from pyruvate: step 3/4. {ECO:0000256|ARBA:ARBA00029436, ECO:0000256|HAMAP-Rule:MF_00012}.	GO:0000287; GO:0004160; GO:0005829; GO:0008652; GO:0009097; GO:0009099; GO:0051537	NA
A0A140NF66	unreviewed	A0A140NF66_ECOBD	Catalase-peroxidase (CP) (EC 1.11.1.21) (Peroxidase/catalase)	katG ECBD_4081	Escherichia coli (strain B / BL21-DE3)	726	ECBD_4081	NA	GO:0004096; GO:0005829; GO:0020037; GO:0042744; GO:0046872; GO:0070301	NA
A0A140NF74	unreviewed	A0A140NF74_ECOBD	Bifunctional aspartokinase/homoserine dehydrogenase [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	ECBD_4083	Escherichia coli (strain B / BL21-DE3)	810	ECBD_4083	PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; (S)-tetrahydrodipicolinate from L-aspartate: step 1/4. {ECO:0000256|ARBA:ARBA00004766, ECO:0000256|PIRNR:PIRNR000727}.; PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 1/3. {ECO:0000256|ARBA:ARBA00004986, ECO:0000256|PIRNR:PIRNR000727}.; PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 3/3. {ECO:0000256|ARBA:ARBA00005062, ECO:0000256|PIRNR:PIRNR000727}.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 1/5. {ECO:0000256|ARBA:ARBA00005139, ECO:0000256|PIRNR:PIRNR000727}.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 3/5. {ECO:0000256|ARBA:ARBA00005056, ECO:0000256|PIRNR:PIRNR000727}.	GO:0004072; GO:0004412; GO:0005524; GO:0009088; GO:0009089; GO:0009090; GO:0016310; GO:0050661	NA
A0A140NFN5	unreviewed	A0A140NFN5_ECOBD	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	murE ECBD_3532	Escherichia coli (strain B / BL21-DE3)	495	ECBD_3532	PATHWAY: Cell wall biogenesis; peptidoglycan biosynthesis. {ECO:0000256|HAMAP-Rule:MF_00208, ECO:0000256|RuleBase:RU004135}.	GO:0000287; GO:0005524; GO:0005737; GO:0007049; GO:0008360; GO:0008765; GO:0009252; GO:0051301; GO:0071555	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00208, ECO:0000256|RuleBase:RU004135}.
